"edad" "desplazado_municipio" "anios_viviendo_municipio" "razon_desplazamiento" "padre_vive_hogar" "satisfecho" "ingreso_economico" "salud" "nivel_seguridad" "trabajo" "feliz" "tranquilidad" "vale_vivir" "ninos" "hogares_completos"
"76" 39 "1" 39 "0" "2" 10 10 10 3 10 10 10 10 2 3
"77" 39 "1" 39 "0" "2" 10 10 10 3 10 10 10 10 2 3
"78" 39 "1" 39 "0" "2" 10 10 10 3 10 10 10 10 2 3
"79" 39 "1" 39 "0" "2" 10 10 10 3 10 10 10 10 2 3
"80" 39 "1" 39 "0" "2" 10 10 10 3 10 10 10 10 2 3
"81" 39 "1" 39 "0" "2" 10 10 10 3 10 10 10 10 2 3
"82" 39 "1" 39 "0" "2" 10 10 10 3 10 10 10 10 2 3
"83" 39 "1" 39 "0" "2" 10 10 10 3 10 10 10 10 2 3
"84" 33 "1" 33 "0" "2" 10 6 6 8 8 10 10 7 1 1
"85" 57 "2" 2 "9" "3" 7 6 6 7 8 8 5 8 3 1
"86" 47 "2" 2 "1" "2" 10 5 6 4 5 10 7 10 1 1
"87" 47 "1" 47 "0" "2" 8 10 10 8 10 10 8 10 1 1
"88" 34 "1" 34 "0" "3" 10 5 8 3 5 5 5 5 3 1
"89" 23 "1" 23 "0" "2" 10 2 10 10 8 10 8 10 3 1
"90" 34 "2" 2 "5" "2" 9 7 7 7 7 8 8 10 2 1
"91" 31 "1" 31 "0" "2" 7 4 8 7 0 4 4 7 3 1
"92" 75 "1" 75 "0" "3" 7 3 5 5 7 10 9 9 1 1
"93" 22 "2" 2 "0" "2" 7 7 9 4 9 8 8 10 1 1
"94" 62 "2" 2 "1" "3" 8 7 7 7 5 9 8 10 1 1
"95" 62 "2" 2 "8" "3" 5 5 6 7 5 5 5 7 1 1
"96" 43 "1" 43 "0" "3" 5 4 5 3 4 8 7 10 1 1
"97" 57 "2" 2 "7" "2" 7 9 9 4 5 3 3 7 1 1
"99" 37 "1" 37 "0" "3" 8 9 9 8 7 8 8 8 3 2
"100" 37 "1" 37 "0" "3" 8 9 9 8 7 8 8 8 3 2
"101" 37 "1" 37 "0" "3" 8 9 9 8 7 8 8 8 3 2
"102" 55 "1" 55 "0" "2" 6 6 7 7 6 5 5 8 4 1
"103" 51 "1" 51 "0" "3" 8 4 3 4 4 3 2 10 3 1
"104" 49 "2" 2 "9" "2" 9 0 10 9 5 5 5 8 2 1
"105" 40 "1" 40 "0" "2" 6 3 8 10 7 10 9 8 1 1
"106" 36 "2" 2 "6" "3" 5 5 10 8 7 10 10 9 2 1
"107" 61 "1" 61 "0" "3" 5 5 6 9 9 7 5 8 1 1
"108" 56 "1" 56 "0" "3" 10 8 8 8 10 10 10 10 1 1
"109" 20 "2" 2 "9" "2" 9 4 9 9 7 9 4 9 1 1
"110" 53 "1" 53 "0" "3" 8 8 9 9 5 8 8 10 1 1
"111" 60 "1" 60 "0" "2" 7 4 5 10 7 10 10 10 1 1
"112" 49 "1" 49 "0" "3" 10 1 7 9 3 10 9 9 1 1
"113" 45 "1" 45 "0" "3" 10 6 9 10 9 10 10 10 1 1
"114" 74 "1" 74 "0" "3" 9 9 9 9 9 10 10 9 2 1
"115" 77 "1" 77 "0" "3" 2 2 3 2 3 4 4 5 1 1
"116" 73 "1" 73 "0" "3" 5 9 9 9 9 9 9 6 6 1
"117" 40 "2" 2 "8" "2" 7 7 10 9 8 8 5 8 1 1
"118" 42 "1" 42 "0" "3" 7 8 7 8 7 7 8 6 1 1
"119" 42 "2" 2 "8" "2" 6 4 8 9 8 8 6 8 1 1
"120" 63 "2" 2 "3" "2" 7 8 7 5 6 3 3 7 1 1
"121" 38 "2" 2 "1" "2" 8 8 10 8 8 9 8 10 1 1
"122" 51 "1" 51 "0" "2" 7 8 6 8 7 7 6 8 1 1
"123" 40 "1" 40 "0" "2" 10 7 10 10 10 8 8 10 1 1
"124" 59 "1" 59 "0" "3" 8 8 9 5 8 8 8 10 2 1
"125" 76 "1" 76 "0" "3" 9 0 1 7 9 8 7 9 1 1
"126" 70 "1" 70 "0" "3" 8 9 6 8 9 9 8 9 1 1
"127" 26 "2" 2 "8" "2" 5 3 9 9 9 6 7 8 1 1
"128" 71 "2" 2 "8" "3" 0 3 0 10 0 10 10 10 1 1
"129" 70 "1" 70 "0" "3" 7 5 8 10 7 2 2 6 1 1
"130" 32 "1" 32 "0" "3" 3 3 8 8 10 10 10 10 3 1
"131" 81 "1" 81 "0" "3" 5 5 8 6 5 7 7 8 1 1
"132" 36 "1" 36 "0" "3" 10 5 10 10 6 6 7 8 2 1
"133" 71 "1" 71 "0" "3" 10 10 10 10 10 10 7 10 3 1
"134" 37 "2" 2 "1" "2" 10 10 10 10 10 10 10 10 1 1
"135" 69 "2" 2 "9" "3" 8 6 8 8 8 3 4 8 1 1
"136" 54 "2" 2 "9" "2" 10 7 1 10 0 5 5 10 2 1
"137" 42 "2" 2 "8" "2" 9 8 10 10 8 7 7 9 1 1
"138" 33 "1" 33 "0" "3" 10 7 10 10 10 10 10 10 1 1
"139" 79 "1" 79 "0" "3" 8 8 7 7 8 7 7 0 2 1
"140" 34 "1" 34 "0" "3" 6 1 7 3 7 6 7 6 7 1
"141" 52 "2" 2 "5" "3" 8 8 8 9 9 9 9 10 1 1
"142" 56 "2" 2 "3" "1" 10 7 10 10 6 5 10 10 3 1
"143" 32 "2" 2 "3" "2" 3 0 10 10 0 0 2 10 1 3
"144" 32 "2" 2 "3" "2" 3 0 10 10 0 0 2 10 1 3
"145" 32 "2" 2 "3" "2" 3 0 10 10 0 0 2 10 1 3
"146" 32 "2" 2 "3" "2" 3 0 10 10 0 0 2 10 1 3
"147" 32 "2" 2 "3" "2" 3 0 10 10 0 0 2 10 1 3
"148" 32 "2" 2 "3" "2" 3 0 10 10 0 0 2 10 1 3
"149" 32 "2" 2 "3" "2" 3 0 10 10 0 0 2 10 1 3
"150" 32 "2" 2 "3" "2" 3 0 10 10 0 0 2 10 1 3
"151" 32 "2" 2 "3" "2" 3 0 10 10 0 0 2 10 1 3
"152" 68 "1" 68 "0" "3" 3 9 3 7 2 5 5 10 1 3
"153" 68 "1" 68 "0" "3" 3 9 3 7 2 5 5 10 1 3
"154" 68 "1" 68 "0" "3" 3 9 3 7 2 5 5 10 1 3
"155" 68 "1" 68 "0" "3" 3 9 3 7 2 5 5 10 1 3
"156" 68 "1" 68 "0" "3" 3 9 3 7 2 5 5 10 1 3
"157" 68 "1" 68 "0" "3" 3 9 3 7 2 5 5 10 1 3
"159" 68 "1" 68 "0" "3" 3 9 3 7 2 5 5 10 1 3
"160" 68 "1" 68 "0" "3" 3 9 3 7 2 5 5 10 1 3
"161" 48 "2" 2 "3" "2" 5 3 4 7 2 10 10 10 1 1
"162" 57 "1" 57 "0" "3" 5 0 5 3 0 7 9 10 4 1
"163" 83 "2" 2 "5" "3" 9 9 5 7 9 9 6 10 4 1
"164" 66 "2" 2 "0" "3" 10 9 5 5 4 0 0 8 1 1
"165" 41 "1" 41 "0" "2" 7 9 9 9 0 4 4 10 1 1
"166" 28 "1" 28 "0" "2" 6 5 8 8 8 9 9 10 2 1
"167" 87 "1" 87 "0" "3" 7 8 0 8 7 7 5 10 1 1
"168" 58 "1" 58 "0" "3" 8 5 6 3 8 6 8 10 1 1
"169" 31 "2" 2 "3" "2" 5 2 8 7 5 7 6 6 6 3
"170" 31 "2" 2 "3" "2" 5 2 8 7 5 7 6 6 6 3
"171" 31 "2" 2 "3" "2" 5 2 8 7 5 7 6 6 6 3
"172" 31 "2" 2 "3" "2" 5 2 8 7 5 7 6 6 6 3
"173" 31 "2" 2 "3" "2" 5 2 8 7 5 7 6 6 6 3
"174" 31 "2" 2 "3" "2" 5 2 8 7 5 7 6 6 6 3
"175" 31 "2" 2 "3" "2" 5 2 8 7 5 7 6 6 6 3
"176" 31 "2" 2 "3" "2" 5 2 8 7 5 7 6 6 6 3
"177" 31 "2" 2 "3" "2" 5 2 8 7 5 7 6 6 6 3
"178" 33 "1" 33 "0" "2" 7 8 7 8 7 7 8 7 6 3
"179" 33 "1" 33 "0" "2" 7 8 7 8 7 7 8 7 6 3
"180" 33 "1" 33 "0" "2" 7 8 7 8 7 7 8 7 6 3
"181" 33 "1" 33 "0" "2" 7 8 7 8 7 7 8 7 6 3
"182" 33 "1" 33 "0" "2" 7 8 7 8 7 7 8 7 6 3
"183" 33 "1" 33 "0" "2" 7 8 7 8 7 7 8 7 6 3
"184" 33 "1" 33 "0" "2" 7 8 7 8 7 7 8 7 6 3
"185" 33 "1" 33 "0" "2" 7 8 7 8 7 7 8 7 6 3
"186" 33 "1" 33 "0" "2" 7 8 7 8 7 7 8 7 6 3
"187" 35 "1" 35 "0" "2" 5 6 5 7 6 5 5 6 3 2
"188" 35 "1" 35 "0" "2" 5 6 5 7 6 5 5 6 3 2
"189" 35 "1" 35 "0" "2" 5 6 5 7 6 5 5 6 3 2
"190" 35 "1" 35 "0" "2" 5 6 5 7 6 5 5 6 3 2
"191" 69 "1" 69 "0" "3" 6 5 4 2 7 6 8 7 1 1
"192" 56 "1" 56 "0" "2" 9 9 9 9 9 9 9 10 2 1
"193" 44 "1" 44 "0" "2" 6 9 6 8 6 7 10 8 2 1
"194" 48 "1" 48 "0" "2" 8 8 9 2 6 8 8 9 1 1
"195" 66 "2" 2 "1" "3" 7 5 8 7 6 7 7 8 1 1
"196" 53 "1" 53 "0" "3" 6 9 8 8 4 7 8 8 1 1
"197" 44 "1" 44 "0" "2" 10 5 5 3 4 8 5 10 1 1
"198" 46 "1" 46 "0" "3" 0 0 3 0 0 5 5 5 1 1
"199" 40 "1" 40 "0" "2" 9 8 8 8 8 10 10 10 2 2
"200" 40 "1" 40 "0" "2" 9 8 8 8 8 10 10 10 2 2
"201" 40 "1" 40 "0" "2" 9 8 8 8 8 10 10 10 2 2
"202" 40 "1" 40 "0" "2" 9 8 8 8 8 10 10 10 2 2
"203" 31 "1" 31 "0" "2" 7 4 6 3 9 2 4 10 3 1
"204" 72 "2" 2 "3" "3" 10 0 6 9 0 10 8 8 1 1
"205" 48 "2" 2 "3" "2" 7 2 7 8 8 8 8 10 1 1
"206" 50 "2" 2 "3" "3" 10 5 10 8 0 10 8 10 4 1
"207" 41 "2" 2 "6" "3" 5 5 8 3 0 4 4 8 2 1
"208" 64 "2" 2 "1" "3" 10 10 7 10 10 8 10 10 1 1
"209" 31 "2" 2 "3" "2" 2 0 5 5 0 0 0 10 1 1
"210" 47 "1" 47 "0" "2" 8 5 6 5 8 8 8 9 2 1
"211" 64 "1" 64 "0" "3" 5 5 6 3 3 9 10 10 1 1
"212" 45 "2" 2 "9" "2" 10 6 10 2 9 10 7 10 3 1
"213" 27 "1" 27 "0" "2" 8 3 9 1 7 8 7 10 1 1
"214" 49 "1" 49 "0" "3" 6 6 10 5 7 8 8 10 1 1
"215" 65 "2" 2 "1" "2" 10 5 6 8 0 10 10 8 1 1
"216" 42 "2" 2 "3" "3" 8 5 7 7 7 10 10 8 1 1
"217" 24 "1" 24 "0" "2" 10 10 10 8 8 7 6 10 1 1
"218" 24 "1" 24 "0" "2" 10 10 10 10 8 10 10 10 2 1
"219" 78 "1" 78 "0" "3" 8 9 5 6 7 4 4 7 1 1
"220" 46 "1" 46 "0" "2" 8 3 5 9 10 10 9 10 2 1
"222" 49 "1" 49 "0" "2" 10 6 10 9 7 9 10 10 2 1
"223" 67 "1" 67 "0" "3" 5 9 5 9 0 5 5 10 1 1
"224" 27 "2" 2 "8" "2" 10 5 10 7 8 8 7 10 1 1
"225" 37 "2" 2 "4" "2" 8 7 5 8 0 7 7 9 1 1
"226" 29 "2" 2 "9" "2" 8 8 7 6 8 6 6 10 1 1
"227" 50 "2" 2 "1" "3" 10 7 6 6 7 10 10 10 1 1
"228" 38 "2" 2 "3" "2" 5 9 3 3 0 6 8 7 3 1
"229" 35 "2" 2 "8" "3" 10 7 10 8 4 5 10 9 2 1
"230" 25 "1" 25 "0" "2" 10 10 10 8 8 9 9 9 2 1
"231" 47 "1" 47 "0" "3" 10 9 5 2 0 10 10 10 2 1
"232" 63 "2" 2 "1" "2" 7 6 8 7 7 10 10 10 1 1
"233" 51 "1" 51 "0" "3" 10 6 5 9 8 10 10 10 3 1
"234" 38 "2" 2 "8" "3" 6 6 7 7 7 6 6 10 1 1
"235" 49 "2" 2 "8" "3" 9 8 6 4 10 8 8 8 1 1
"236" 61 "1" 61 "0" "2" 10 9 5 6 4 7 8 10 1 1
"237" 48 "2" 2 "1" "3" 10 9 5 5 5 10 10 8 1 1
"238" 28 "1" 28 "0" "2" 5 8 10 10 10 10 10 10 2 1
"239" 60 "2" 2 "1" "3" 7 5 7 10 9 8 8 9 1 1
"240" 63 "2" 2 "7" "3" 5 3 5 6 7 4 5 7 1 1
"241" 51 "1" 51 "0" "3" 9 4 7 9 7 6 6 10 4 1
"242" 61 "2" 2 "3" "2" 10 0 8 10 10 1 1 10 2 1
"243" 37 "2" 2 "9" "2" 9 5 6 10 5 5 5 10 3 1
"244" 88 "1" 88 "0" "3" 7 5 6 8 8 8 7 8 1 1
"245" 51 "1" 51 "0" "3" 8 5 5 7 8 8 9 10 2 1
"246" 78 "2" 2 "3" "3" 7 6 5 5 6 6 7 9 1 1
"247" 50 "1" 50 "0" "3" 10 5 9 10 5 7 6 10 1 1
"248" 21 "1" 21 "0" "2" 7 0 10 5 5 7 7 8 1 1
"249" 61 "2" 2 "9" "3" 7 7 7 3 10 10 10 10 1 1
"250" 52 "1" 52 "0" "3" 2 4 4 4 5 3 8 9 1 1
"251" 27 "1" 27 "0" "2" 9 5 8 10 0 8 9 9 1 1
"252" 66 "1" 66 "0" "2" 5 6 4 10 0 5 6 7 1 1
"253" 26 "1" 26 "0" "2" 8 7 8 8 9 7 7 10 2 1
"254" 68 "2" 2 "2" "3" 10 9 2 9 2 9 8 9 1 1
"255" 51 "2" 2 "9" "2" 7 3 5 8 7 7 5 7 1 1
"256" 21 "2" 2 "10" "2" 8 7 10 6 7 10 10 10 2 1
"257" 88 "1" 88 "0" "3" 8 7 9 10 0 8 8 7 1 1
"258" 64 "1" 64 "0" "3" 6 7 7 9 9 9 9 9 1 1
"259" 50 "1" 50 "0" "3" 3 3 8 10 3 1 1 5 1 1
"260" 68 "1" 68 "0" "3" 10 10 8 6 6 10 10 10 2 1
"261" 36 "1" 36 "0" "2" 1 1 9 9 4 1 1 2 3 1
"262" 52 "1" 52 "0" "3" 6 2 1 4 10 9 9 9 1 1
"263" 51 "1" 51 "0" "3" 9 9 9 9 2 9 9 8 2 1
"264" 31 "1" 31 "0" "2" 10 9 8 10 10 8 8 10 4 1
"265" 34 "1" 34 "0" "2" 7 5 8 8 6 10 8 7 2 1
"266" 51 "1" 51 "0" "3" 7 5 4 3 9 8 5 10 2 1
"267" 22 "2" 2 "4" "2" 7 7 10 5 10 8 10 10 1 1
"268" 58 "1" 58 "0" "3" 8 8 5 10 7 0 5 9 1 1
"269" 34 "2" 2 "8" "2" 8 3 7 6 5 8 7 10 2 1
"270" 77 "1" 77 "0" "3" 8 7 6 9 7 8 7 8 1 1
"271" 55 "1" 55 "0" "3" 6 3 5 1 10 7 8 7 2 1
"272" 37 "1" 37 "0" "2" 10 10 10 10 10 10 10 10 1 1
"273" 22 "1" 22 "0" "3" 10 8 10 8 10 10 10 10 1 1
"274" 42 "1" 42 "0" "3" 5 2 4 5 2 4 4 10 3 1
"275" 65 "1" 65 "0" "3" 7 7 4 3 5 6 5 6 1 1
"276" 40 "1" 40 "0" "2" 10 7 8 8 8 8 8 10 3 1
"277" 22 "1" 22 "0" "2" 10 9 10 10 0 9 0 10 1 1
"278" 79 "1" 79 "0" "3" 6 9 7 10 6 8 7 7 1 1
"279" 29 "2" 2 "8" "2" 8 8 10 10 8 8 10 10 1 1
"280" 42 "1" 42 "0" "2" 10 10 10 9 10 10 10 10 1 1
"281" 38 "2" 2 "7" "2" 7 6 10 9 7 7 8 10 1 1
"282" 50 "1" 50 "0" "2" 10 7 10 10 9 10 10 10 2 1
"283" 57 "1" 57 "0" "3" 10 10 8 7 10 10 8 10 2 1
"284" 43 "1" 43 "0" "2" 10 10 10 10 10 6 5 10 2 1
"285" 79 "1" 79 "0" "3" 10 10 10 10 10 10 10 10 2 1
"286" 62 "1" 62 "0" "3" 9 9 9 9 9 9 9 9 2 1
"287" 45 "1" 45 "0" "3" 7 5 10 9 10 10 10 10 1 1
"288" 29 "1" 29 "0" "2" 8 7 8 8 8 6 6 9 2 1
"289" 24 "1" 24 "0" "3" 9 9 10 10 8 6 5 9 2 1
"290" 59 "1" 59 "0" "3" 8 0 8 8 8 7 7 7 2 1
"291" 26 "1" 26 "0" "2" 10 9 8 8 0 10 10 10 1 1
"292" 45 "2" 2 "1" "3" 6 7 6 6 6 6 6 7 3 1
"293" 39 "1" 39 "0" "2" 8 7 7 7 6 7 6 7 2 1
"294" 37 "2" 2 "1" "2" 7 7 8 7 8 7 7 7 3 1
"295" 64 "1" 64 "0" "2" 10 10 10 9 9 9 9 10 1 1
"296" 32 "1" 32 "0" "2" 9 9 9 8 8 8 9 10 1 1
"297" 45 "1" 45 "0" "2" 8 7 9 8 8 8 8 8 2 1
"298" 86 "1" 86 "0" "3" 8 0 7 8 8 9 9 6 1 1
"299" 90 "1" 90 "0" "3" 10 9 10 10 9 9 9 9 1 1
"300" 66 "1" 66 "0" "3" 10 10 10 6 10 10 10 10 3 1
"301" 59 "1" 59 "0" "2" 7 6 7 5 6 7 6 8 1 1
"302" 43 "1" 43 "0" "2" 9 10 9 6 8 8 8 10 2 1
"303" 70 "1" 70 "0" "2" 4 9 8 10 5 10 9 10 1 1
"304" 40 "1" 40 "0" "3" 7 5 10 10 9 9 10 10 3 1
"305" 84 "1" 84 "0" "3" 7 9 8 9 5 5 6 9 2 1
"306" 29 "1" 29 "0" "2" 7 5 9 8 5 7 9 8 2 1
"307" 72 "1" 72 "0" "3" 9 9 8 9 0 8 7 10 1 1
"308" 54 "1" 54 "0" "3" 8 10 5 0 8 8 8 10 1 1
"309" 54 "1" 54 "0" "2" 8 7 8 4 9 9 7 10 1 1
"310" 81 "1" 81 "0" "3" 10 10 10 10 10 10 10 10 2 1
"311" 51 "1" 51 "0" "2" 10 9 9 9 10 10 10 9 1 1
"312" 60 "1" 60 "0" "3" 3 3 4 2 2 2 2 5 1 1
"313" 64 "1" 64 "0" "3" 10 3 6 7 4 8 7 8 1 1
"314" 36 "1" 36 "0" "2" 10 9 10 0 0 7 4 10 3 1
"315" 63 "1" 63 "0" "3" 10 8 4 10 8 7 10 8 1 1
"316" 63 "1" 63 "0" "3" 9 8 9 8 9 6 8 9 1 1
"317" 36 "2" 2 "9" "3" 6 3 3 5 0 7 6 7 3 1
"318" 49 "1" 49 "0" "3" 8 5 8 7 9 9 5 8 1 1
"319" 38 "1" 38 "0" "2" 7 6 10 10 9 4 5 10 4 1
"320" 39 "2" 2 "5" "2" 10 10 10 10 10 10 10 10 2 1
"321" 75 "1" 75 "0" "3" 10 6 10 9 8 10 8 10 1 1
"322" 80 "1" 80 "0" "3" 10 5 7 7 2 10 10 8 1 1
"323" 47 "2" 2 "1" "3" 8 6 7 6 6 8 7 9 1 1
"324" 55 "1" 55 "0" "3" 9 7 9 8 7 10 10 10 2 1
"325" 39 "2" 2 "3" "3" 5 5 7 9 9 10 3 10 3 1
"326" 51 "2" 2 "8" "3" 8 8 8 7 7 8 8 9 3 2
"327" 51 "2" 2 "8" "3" 8 8 8 7 7 8 8 9 3 2
"328" 51 "2" 2 "8" "3" 8 8 8 7 7 8 8 9 3 2
"329" 51 "2" 2 "8" "3" 8 8 8 7 7 8 8 9 3 2
"330" 23 "2" 2 "9" "2" 9 9 8 9 10 8 9 10 1 1
"331" 43 "2" 2 "0" "3" 7 8 7 7 8 9 7 9 1 1
"332" 53 "2" 2 "8" "2" 7 7 4 7 8 8 10 8 1 1
"333" 70 "1" 70 "0" "2" 10 10 7 10 6 10 10 10 2 1
"334" 60 "1" 60 "0" "3" 7 8 6 5 7 6 5 8 1 1
"335" 62 "1" 62 "0" "3" 8 8 7 4 8 7 5 8 1 1
"336" 43 "1" 43 "0" "2" 10 5 10 4 4 10 10 10 1 1
"337" 49 "1" 49 "0" "3" 7 5 7 8 5 6 7 9 1 1
"338" 61 "1" 61 "0" "3" 10 1 10 7 10 10 10 10 1 1
"339" 60 "2" 2 "8" "3" 7 9 9 8 8 9 10 10 2 1
"340" 44 "2" 2 "8" "3" 6 8 6 4 9 10 10 7 3 1
"341" 40 "1" 40 "0" "2" 8 5 8 0 9 10 9 10 2 1
"342" 31 "1" 31 "0" "2" 8 9 10 10 10 8 8 10 2 1
"343" 62 "1" 62 "0" "3" 8 2 3 2 9 5 5 9 1 1
"344" 75 "2" 2 "9" "3" 9 9 8 9 9 8 7 8 1 1
"345" 64 "1" 64 "0" "3" 6 2 10 3 9 7 7 7 1 1
"346" 59 "2" 2 "8" "3" 6 5 4 7 7 4 2 7 2 1
"347" 89 "1" 89 "0" "3" 10 10 5 10 10 10 10 10 1 1
"348" 42 "1" 42 "0" "3" 10 7 5 0 8 8 5 10 3 1
"349" 65 "1" 65 "0" "3" 10 10 10 5 10 10 10 10 2 1
"350" 83 "2" 2 "9" "3" 10 7 4 10 7 9 5 8 1 1
"351" 49 "1" 49 "0" "3" 9 9 7 6 7 7 7 10 2 1
"352" 68 "2" 2 "8" "3" 4 9 5 5 1 7 7 10 1 1
"353" 44 "1" 44 "0" "3" 7 5 9 9 4 10 10 10 1 1
"354" 61 "1" 61 "0" "3" 10 5 9 10 0 10 10 10 2 1
"355" 44 "2" 2 "8" "2" 8 8 7 8 8 8 9 10 1 1
"356" 32 "2" 2 "10" "2" 10 5 10 8 10 10 10 10 2 1
"357" 36 "2" 2 "9" "2" 10 7 10 8 9 9 5 10 2 1
"358" 37 "1" 37 "0" "2" 10 10 10 10 10 10 10 10 2 1
"359" 23 "1" 23 "0" "2" 8 5 8 8 7 7 7 8 2 1
